nume,jud,pe_lista,"06_21 LP","06_21 LS","06_21 UM","06_21 LT","07_21 LP","07_21 LS","07_21 UM","07_21 LT"
"ALBA IULIA",AB,54716,3513,514,53,4080,10773,1249,94,12116
BĂRĂBANŢ,AB,2259,114,9,0,123,427,19,0,446
MICEŞTI,AB,2263,114,8,0,122,533,39,0,572
OARDA,AB,1988,132,11,0,143,508,43,1,552
PÎCLIŞA,AB,865,35,3,0,38,221,7,0,228
AIUD,AB,16397,818,72,369,1259,2921,213,407,3541
"AIUDUL DE SUS",AB,2032,101,4,1,106,450,23,2,475
CIUMBRUD,AB,1074,27,5,0,32,143,13,0,156
GÎMBAŞ,AB,414,6,4,0,10,31,9,0,40
"GÎRBOVA DE JOS",AB,418,15,2,0,17,107,24,0,131
"GÎRBOVA DE SUS",AB,233,8,2,0,10,59,8,0,67
GÎRBOVIŢA,AB,99,1,3,0,4,23,12,0,35
MĂGINA,AB,464,24,5,0,29,168,14,0,182
PĂGIDA,AB,93,1,4,0,5,15,6,0,21
SÎNCRAI,AB,572,23,7,0,30,124,13,0,137
BLAJ,AB,14362,592,83,0,675,2227,166,1,2394
MĂNĂRADE,AB,900,17,7,0,24,122,12,0,134
PETRISAT,AB,480,5,0,0,5,20,0,0,20
TIUR,AB,1301,41,0,0,41,204,1,0,205
SEBEŞ,AB,19741,981,92,4,1077,3296,215,9,3520
LANCRĂM,AB,1416,78,5,0,83,332,30,0,362
PETREŞTI,AB,4233,208,12,0,220,872,42,1,915
RĂHĂU,AB,850,17,2,0,19,118,12,0,130
ABRUD,AB,4666,190,25,0,215,1046,102,3,1151
"BAIA DE ARIEŞ",AB,2439,94,12,17,123,419,32,17,468
BRĂZEŞTI,AB,212,8,1,0,9,49,7,0,56
"CIOARA DE SUS",AB,191,7,3,0,10,40,5,0,45
MUNCELU,AB,304,10,5,0,15,81,11,0,92
SARTĂŞ,AB,320,10,0,0,10,320,6,0,326
CÎMPENI,AB,5342,414,72,41,527,1831,184,42,2057
CERTEGE,AB,384,40,0,0,40,128,9,0,137
MIHOEŞTI,AB,274,18,5,0,23,98,10,0,108
"VALEA BISTRII",AB,378,28,5,0,33,113,12,0,125
CUGIR,AB,20159,1085,85,0,1170,3947,196,5,4148
BUCURU,AB,104,0,2,0,2,14,7,0,21
CĂLENE,AB,48,5,5,0,10,15,6,0,21
MUGEŞTI,AB,93,0,4,0,4,6,5,0,11
VINEREA,AB,1971,69,11,0,80,430,33,0,463
"OCNA MUREŞ",AB,7788,302,23,0,325,1117,78,0,1195
"UIOARA DE JOS",AB,902,31,6,0,37,171,15,0,186
"UIOARA DE SUS",AB,1392,22,0,0,22,141,5,0,146
"CISTEIU DE MUREŞ",AB,542,9,1,0,10,36,5,0,41
MICOŞLACA,AB,245,1,2,0,3,22,10,0,32
RĂZBOIENI-CETATE,AB,1104,40,6,0,46,203,13,0,216
TEIUŞ,AB,5452,202,32,0,234,834,86,0,920
BELDIU,AB,201,5,1,0,6,29,22,0,51
PEŢELCA,AB,122,3,0,0,3,31,7,0,38
CĂPUD,AB,264,22,5,0,27,101,13,0,114
ZLATNA,AB,3537,171,15,0,186,562,48,0,610
FENEŞ,AB,765,26,5,0,31,272,24,0,296
GALAŢI,AB,311,5,1,0,6,37,14,0,51
"IZVORU AMPOIULUI",AB,419,5,0,0,5,60,11,0,71
PĂTRÎNGENI,AB,508,17,2,0,19,110,8,0,118
PIRITA,AB,369,10,1,0,11,39,5,0,44
TRÎMPOIELE,AB,338,19,1,0,20,66,8,0,74
"VALEA MICĂ",AB,342,34,6,0,40,137,8,0,145
VÎLTORI,AB,178,10,0,0,10,23,5,0,28
ALBAC,AB,751,48,60,0,108,328,112,9,449
CIONEŞTI,AB,541,9,7,0,16,198,20,3,221
COSTEŞTI,AB,86,2,2,0,4,36,5,0,41
POTIONCI,AB,68,11,3,0,14,36,7,0,43
ROGOZ,AB,242,29,10,0,39,113,20,0,133
"ALMAŞU MARE",AB,535,31,0,0,31,138,16,0,154
"ALMAŞU DE MIJLOC",AB,127,6,2,0,8,45,9,0,54
CIB,AB,240,1,0,0,1,27,5,0,32
GLOD,AB,154,7,4,0,11,78,16,0,94
ARIEŞENI,AB,1124,33,21,0,54,386,60,0,446
"CASA DE PIATRĂ",AB,90,1,0,0,1,19,1,0,20
COBLEŞ,AB,199,12,2,0,14,85,7,0,92
"AVRAM IANCU",AB,624,15,7,0,22,137,25,0,162
TÎRSA,AB,628,7,2,0,9,119,15,0,134
HENIG,AB,236,12,2,0,14,64,19,1,84
BERGHIN,AB,707,44,7,0,51,178,27,0,205
GHIRBOM,AB,425,17,3,0,20,152,21,0,173
STRAJA,AB,292,15,4,0,19,64,5,0,69
BISTRA,AB,2677,54,2,0,56,457,30,0,487
CIULDEŞTI,AB,626,8,5,0,13,94,7,0,101
GÎRDE,AB,654,14,3,0,17,113,13,0,126
BLANDIANA,AB,470,6,6,0,12,65,19,0,84
ACMARIU,AB,293,8,10,0,18,84,26,0,110
RĂCĂTĂU,AB,27,1,0,0,1,10,6,0,16
"BUCERDEA GRÂNOASĂ",AB,1846,25,0,0,25,222,8,0,230
CIUCULEŞTI,AB,361,14,3,0,17,82,15,0,97
BUCIUM-SAT,AB,416,20,1,0,21,136,16,0,152
CERBU,AB,272,9,0,0,9,69,8,0,77
POIENI,AB,275,21,1,0,22,93,20,0,113
CENADE,AB,759,12,2,1,15,94,8,2,104
"CERGĂU MARE",AB,813,13,2,0,15,139,8,0,147
"CERGĂU MIC",AB,259,22,2,0,24,78,19,0,97
LUPU,AB,206,20,9,0,29,71,18,0,89
CERU-BĂCĂINŢI,AB,213,9,1,0,10,38,11,0,49
"CETATEA DE BALTĂ",AB,1481,44,1,0,45,125,12,0,137
"CRACIUNELU DE SUS",AB,83,13,6,0,19,32,11,0,43
SÎNTĂMĂRIE,AB,243,5,0,0,5,20,3,0,23
TĂTÎRLAUA,AB,619,18,2,0,20,118,11,0,129
CIUGUD,AB,480,29,12,0,41,123,29,4,156
DRÎMBAR,AB,327,17,2,0,19,113,26,4,143
HĂPRIA,AB,488,73,9,0,82,185,38,12,235
LIMBA,AB,321,41,6,0,47,115,17,11,143
ŞEUŞA,AB,636,69,6,15,90,219,21,26,266
TELEAC,AB,335,44,7,0,51,140,19,8,167
BUNINGINEA,AB,371,19,4,0,23,141,13,5,159
CIURULEASA,AB,596,24,9,0,33,249,42,12,303
CÎLNIC,AB,1127,54,2,0,56,286,24,0,310
